Source;Target;weight
38276931;38482286;0.2175068849
38276931;38610124;0.1868848384
38276931;38610163;0.1242896485
38276931;38630552;0.1859894602
38276931;38645517;0.1740055079
38276931;38685039;0.1446946096
38276931;38841765;0.058001836
38276931;38869775;0.087002754
38276931;39062708;0.1104031625
38276931;39501337;0.1158419326
38276931;39502003;0.0481286499
38276931;39502009;0.2079178702
38276931;39850954;0.0481286499
38276931;40304872;0.1087534425
38276931;40486829;0.0398249429
38276931;40656852;0.087002754
38276931;40764077;0.0322232422
38276931;41031771;0.1740055079
38276931;41305251;0.2079178702
38276931;41545667;0.0543767212
38276933;39234316;0.1384381907
38276933;41340303;0.1649388025
38287536;39374093;0.2207068507
38287536;39430884;0.2327338393
38287536;39950311;0.0240849044
38287536;40214581;0.1811148196
38287536;40342977;0.2119126278
38287536;40580460;0.5202339343
38287536;40598838;0.4335282786
38287541;38785592;0.142537306
38287541;39051040;0.3291505489
38287541;39234319;0.3473943211
38287541;39434626;0.3291505489
38287541;39444038;0.115798107
38287541;40363676;0.7397534789
38287541;40431010;0.1565242976
38287541;40611137;0.2194336992
38287541;40791329;0.0115771385
38287541;41342991;0.1196911087
38302686;39059257;0.4640163565
38311570;38522976;0.1038952996
38311570;38604738;0.1084124866
38311570;38610159;0.2266806538
38311570;39045628;0.4986974383
38311570;39449788;0.3116858989
38311570;39697348;0.9649371532
38311570;39746370;0.2493487192
38311570;39851039;0.2412342883
38311570;40377331;0.1315823391
38311570;40516518;0.3618514325
38311570;40516752;0.1809257162
38311570;41094116;0.2770541324
38311570;41103840;0.1679034024
38311570;41474824;0.0923513775
38311575;38989976;0.3401384995
38311575;39720851;0.2773776182
38311575;40696389;0.1040166068
38311575;41281990;0.1546139998
38311575;41535841;0.1040166068
38311577;38315983;0.0590987756
38311577;38468665;0.0864621023
38311577;38604738;0.0621246432
38311577;38614209;0.1455259837
38311577;38672099;0.0581806754
38311577;38796204;0.1307675778
38311577;38989976;0.1022107355
38311577;39051245;0.0916704921
38311577;39233736;0.0373388782
38311577;39453315;0.1748159269
38311577;39510791;0.0817986374
38311577;39733388;0.0494069156
38311577;39873364;0.0874363807
38311577;40101703;0.1126737096
38311577;40308338;0.1819074797
38311577;40392375;0.0467420785
38311577;40401081;0.0412692865
38311577;40696391;0.0632455531
38311577;40709958;0.1278577555
38311577;41322890;0.0082289434
38311577;41461085;0.0663929156
38311577;41468093;0.0544060686
38311579;39501337;0.1500974354
38311855;38522976;0.0560706307
38311855;38525524;0.1059168094
38311855;38604752;0.09224294
38311855;38604756;0.0498432044
38311855;38604764;0.1149633652
38311855;39016982;0.065179575
38311855;39051254;0.1210477822
38311855;39165658;0.0332881231
38311855;39395072;0.2118336188
38311855;39590798;0.0906099002
38311855;39697337;0.1208326398
38311855;39911835;0.1379079384
38311855;40003765;0.1836305962
38311855;40249006;0.0768691166
