Id;Label;Annee_Bibliographique;Nom;Titre;Revue;nb_cit
41311619;BODIE,1976;1976;BODIE-Z;COMMON-STOCKS AS A HEDGE AGAINST INFLATION;JOURNAL OF FINANCE; 0
40503827;FAMA,1975;1975;FAMA-EF;SHORT-TERM INTEREST RATES AS PREDICTORS OF INFLATION;AMERICAN ECONOMIC REVIEW; 8
40527017;SHAPIRO,1975;1975;SHAPIRO-AC;EXCHANGE-RATE CHANGES, INFLATION, AND VALUE OF MULTINATIONAL CORPORATION;JOURNAL OF FINANCE; 0
41259037;FRENKEL,1976;1976;FRENKEL-JA;MONETARY APPROACH TO EXCHANGE-RATE - DOCTRINAL ASPECTS AND EMPIRICAL-EVIDENCE;SCANDINAVIAN JOURNAL OF ECONOMICS; 0
41322893;OFFICER,1976;1976;OFFICER-LH;PURCHASING-POWER-PARITY THEORY OF EXCHANGE-RATES - REVIEW ARTICLE;INTERNATIONAL MONETARY FUND STAFF PAPERS; 0
41474739;DORNBUSCH,1976;1976;DORNBUSCH-R;EXPECTATIONS AND EXCHANGE-RATE DYNAMICS;JOURNAL OF POLITICAL ECONOMY; 0
39051232;MIRRLEES,1971;1971;MIRRLEES-JA;EXPLORATION IN THEORY OF OPTIMUM INCOME TAXATION;REVIEW OF ECONOMIC STUDIES;19
40007150;TREADWAY,1974;1974;TREADWAY-AB;GLOBALLY OPTIMAL FLEXIBLE ACCELERATOR;JOURNAL OF ECONOMIC THEORY; 0
38610128;OLIVERA,1970;1970;OLIVERA-JHG;PASSIVE MONEY;JOURNAL OF POLITICAL ECONOMY; 5
38849727;FRIEDMAN,1971;1971;FRIEDMAN-M;GOVERNMENT REVENUE FROM INFLATION;JOURNAL OF POLITICAL ECONOMY;10
39964002;SARGENT,1973;1973;SARGENT-TJ;STABILITY OF MODELS OF MONEY AND GROWTH WITH PERFECT FORESIGHT;ECONOMETRICA; 4
38957922;ROTHSCHI.M,1971;1971;ROTHSCHI.M;COST OF ADJUSTMENT;QUARTERLY JOURNAL OF ECONOMICS; 1
41282859;SANDMO,1976;1976;SANDMO-A;OPTIMAL TAXATION - INTRODUCTION TO LITERATURE;JOURNAL OF PUBLIC ECONOMICS; 0
40771207;DEACON,1975;1975;DEACON-R;PRIVATE PREFERENCE FOR COLLECTIVE GOODS REVEALED THROUGH VOTING ON REFERENDA;AMERICAN ECONOMIC REVIEW; 1
39714645;BERGSTRO.TC,1973;1973;BERGSTRO.TC;PRIVATE DEMANDS FOR PUBLIC GOODS;AMERICAN ECONOMIC REVIEW; 8
40304871;FELDSTEI.M,1974;1974;FELDSTEI.M;SOCIAL SECURITY, INDUCED RETIREMENT, AND AGGREGATE CAPITAL ACCUMULATION;JOURNAL OF POLITICAL ECONOMY; 2
39714648;LUCAS,1973;1973;LUCAS-RE;SOME INTERNATIONAL EVIDENCE ON OUTPUT-INFLATION TRADEOFFS;AMERICAN ECONOMIC REVIEW;16
38685030;SHIBATA,1971;1971;SHIBATA-H;BARGAINING MODEL OF PURE THEORY OF PUBLIC EXPENDITURE;JOURNAL OF POLITICAL ECONOMY; 2
39022388;JORGENSO.DW,1971;1971;JORGENSO.DW;ECONOMETRIC STUDIES OF INVESTMENT BEHAVIOR - SURVEY;JOURNAL OF ECONOMIC LITERATURE; 8
41157841;SARGENT,1976;1976;SARGENT-TJ;CLASSICAL MACROECONOMETRIC MODEL FOR UNITED-STATES;JOURNAL OF POLITICAL ECONOMY; 1
38367950;CLOWER,1970;1970;CLOWER-RW;IS THERE AN OPTIMAL MONEY SUPPLY;JOURNAL OF FINANCE; 6
40157148;GRAMM,1974;1974;GRAMM-WP;LAISSEZ-FAIRE AND OPTIMUM QUANTITY OF MONEY;ECONOMIC INQUIRY; 1
41401658;SAVING,1976;1976;SAVING-TR;COMPETITIVE MONEY PRODUCTION AND PRICE-LEVEL DETERMINANCY;SOUTHERN ECONOMIC JOURNAL; 0
40053594;HECKMAN,1974;1974;HECKMAN-J;LIFE CYCLE CONSUMPTION AND LABOR SUPPLY - EXPLANATION OF RELATIONSHIP BETWEEN INCOME AND CONSUMPTION OVER LIFE CYCLE;AMERICAN ECONOMIC REVIEW; 1
38620332;WACHTER,1970;1970;WACHTER-ML;CYCLICAL VARIATION IN INTERINDUSTRY WAGE STRUCTURE;AMERICAN ECONOMIC REVIEW; 4
40007152;BLACK,1974;1974;BLACK-F;UNIQUENESS OF PRICE LEVEL IN MONETARY GROWTH MODELS WITH RATIONAL EXPECTATIONS;JOURNAL OF ECONOMIC THEORY; 3
41313069;JONES,1976;1976;JONES-RA;ORIGIN AND DEVELOPMENT OF MEDIA OF EXCHANGE;JOURNAL OF POLITICAL ECONOMY; 0
40562620;DARBY,1975;1975;DARBY-MR;FINANCIAL AND TAX EFFECTS OF MONETARY-POLICY ON INTEREST-RATES;ECONOMIC INQUIRY; 0
41506743;FELDSTEIN,1976;1976;FELDSTEIN-M;INFLATION, INCOME-TAXES, AND RATE OF INTEREST - THEORETICAL-ANALYSIS;AMERICAN ECONOMIC REVIEW; 0
40503838;HELLER,1975;1975;HELLER-PS;MODEL OF PUBLIC FISCAL BEHAVIOR IN DEVELOPING COUNTRIES - AID, INVESTMENT, AND TAXATION;AMERICAN ECONOMIC REVIEW; 0
41507397;ROBERTS,1976;1976;ROBERTS-J;INCENTIVES FOR CORRECT REVELATION OF PREFERENCES AND NUMBER OF CONSUMERS;JOURNAL OF PUBLIC ECONOMICS; 0
39131136;TOBIN,1972;1972;TOBIN-J;INFLATION AND UNEMPLOYMENT;AMERICAN ECONOMIC REVIEW;19
41201523;SANDMO,1976;1976;SANDMO-A;DIRECT VERSUS INDIRECT PIGOVIAN TAXATION;EUROPEAN ECONOMIC REVIEW; 0
38604754;SCHRAMM,1970;1970;SCHRAMM-R;INFLUENCE OF RELATIVE PRICES, PRODUCTION CONDITIONS AND ADJUSTMENT COSTS ON INVESTMENT BEHAVIOUR;REVIEW OF ECONOMIC STUDIES; 4
39060553;MALINVAU.E,1971;1971;MALINVAU.E;PLANNING APPROACH TO PUBLIC GOOD PROBLEM;SWEDISH JOURNAL OF ECONOMICS; 0
41157844;BROWNING,1976;1976;BROWNING-EK;MARGINAL COST OF PUBLIC FUNDS;JOURNAL OF POLITICAL ECONOMY; 0
40419548;FELDSTEI.M,1974;1974;FELDSTEI.M;INCIDENCE OF A CAPITAL INCOME TAX IN A GROWING ECONOMY WITH VARIABLE SAVINGS RATES;REVIEW OF ECONOMIC STUDIES; 1
41478540;KNIGHT,1976;1976;KNIGHT-JB;EXPLAINING INCOME-DISTRIBUTION IN LESS DEVELOPED-COUNTRIES - FRAMEWORK AND AN AGENDA;OXFORD BULLETIN OF ECONOMICS AND STATISTICS; 0
40495398;FISCHER,1975;1975;FISCHER-S;DEMAND FOR INDEX BONDS;JOURNAL OF POLITICAL ECONOMY; 3
40503834;CHRISTENSEN,1975;1975;CHRISTENSEN-LR;TRANSCENDENTAL LOGARITHMIC UTILITY FUNCTIONS;AMERICAN ECONOMIC REVIEW; 0
41282860;ATKINSON,1976;1976;ATKINSON-AB;DESIGN OF TAX STRUCTURE - DIRECT VERSUS INDIRECT TAXATION;JOURNAL OF PUBLIC ECONOMICS; 2
40437669;BARRO,1974;1974;BARRO-RJ;ARE GOVERNMENT BONDS NET WEALTH;JOURNAL OF POLITICAL ECONOMY; 5
39246866;KENNEDY,1972;1972;KENNEDY-C;SURVEYS IN APPLIED ECONOMICS - TECHNICAL PROGRESS;ECONOMIC JOURNAL; 0
41379120;SARGENT,1976;1976;SARGENT-TJ;RATIONAL EXPECTATIONS AND THEORY OF ECONOMIC-POLICY;JOURNAL OF MONETARY ECONOMICS; 1
41031764;SARGENT,1975;1975;SARGENT-TJ;RATIONAL EXPECTATIONS, OPTIMAL MONETARY INSTRUMENT, AND OPTIMAL MONEY SUPPLY RULE;JOURNAL OF POLITICAL ECONOMY; 7
41446479;HAMERMESH,1976;1976;HAMERMESH-DS;ECONOMETRIC STUDIES OF LABOR DEMAND AND THEIR APPLICATION TO POLICY ANALYSIS;JOURNAL OF HUMAN RESOURCES; 0
38620424;ARROW,1970;1970;ARROW-KJ;UNCERTAINTY AND EVALUATION OF PUBLIC INVESTMENT DECISIONS;AMERICAN ECONOMIC REVIEW; 9
